A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,Price
601,1.62,0.85,0.0,0.86,0.0,1.91,0.0,good,0.66
609,1.07,1.4,0.0,0.0,0.0,1.0,0.8,good,0.63
624,0.61,1.26,0.0,3.79,0.45,1.36,0.77,good,0.97
634,5.87,0.82,0.0,0.77,3.05,0.68,6.7,good,2.11
666,0.21,2.5,0.0,1.72,0.0,0.0,0.0,good,0.96
672,1.38,4.36,0.0,2.14,0.0,0.0,0.24,good,1.8
674,1.59,0.86,0.0,3.2,3.55,0.0,2.6,good,1.61
675,1.81,1.63,0.0,0.0,0.0,0.0,0.09,good,0.85
703,1.11,0.37,0.0,2.17,0.0,0.07,2.86,bad,0.55
709,0.03,1.19,0.67,2.19,0.0,0.0,2.41,bad,0.72
711,2.28,2.07,0.0,0.73,0.0,0.0,0.0,bad,1.15
715,1.12,1.54,0.0,0.0,0.0,0.78,2.07,good,0.69
729,0.17,0.31,0.0,1.98,0.0,0.55,0.0,bad,0.33
732,2.19,0.73,0.0,3.84,0.0,0.56,0.0,good,1.04
754,2.14,1.22,0.0,1.99,0.0,1.1,2.4,bad,0.99
769,1.98,1.48,0.0,0.09,2.81,0.0,0.0,bad,1.41
770,0.64,1.95,0.0,1.21,0.0,0.0,2.62,good,0.83
776,1.15,1.96,0.0,2.51,0.0,0.0,1.33,good,1.07
786,3.31,0.02,0.0,0.0,3.35,1.58,4.62,good,1.34
788,0.46,1.09,0.0,1.69,1.4,0.88,0.0,good,0.87
794,0.44,0.86,0.0,5.28,0.01,0.0,0.0,good,0.88
796,0.95,0.63,0.66,1.2,0.0,0.0,0.58,good,0.63
807,0.49,0.1,0.31,0.0,2.73,0.0,3.45,good,0.74
809,1.0,0.09,0.0,0.0,0.0,0.17,1.19,good,0.23
814,0.85,1.08,0.0,2.66,0.0,0.0,0.0,bad,0.76
817,0.47,0.65,0.77,3.45,0.0,0.0,1.01,good,0.79
821,0.36,0.86,0.0,0.79,1.62,0.0,0.0,bad,0.73
831,0.43,1.77,1.24,0.0,2.25,0.0,2.12,good,1.32
870,1.58,0.33,0.0,0.0,0.0,2.3,0.0,good,0.42
874,0.6,0.16,0.0,0.36,1.05,0.0,0.0,bad,0.41
877,0.1,0.64,0.0,3.31,0.0,0.0,0.63,bad,0.54
884,1.68,0.08,0.0,2.7,0.77,0.0,0.5,good,0.78
886,2.39,1.11,0.0,4.88,0.0,0.0,1.51,good,1.3
903,2.89,0.9,0.0,4.59,0.0,0.0,2.22,good,1.31
929,1.4,1.04,0.0,1.48,0.0,1.13,0.0,good,0.74
930,0.92,0.66,0.0,3.06,0.0,1.95,0.62,good,0.69
952,0.23,0.22,0.35,0.1,0.73,0.43,0.0,good,0.34
955,0.68,0.26,0.0,0.38,0.0,1.25,0.0,bad,0.25
961,0.43,0.1,0.0,3.01,0.0,0.0,0.0,bad,0.42
967,1.85,1.14,0.0,3.64,0.0,0.0,0.0,bad,1.08
990,0.29,0.68,0.0,2.48,0.0,0.0,0.0,bad,0.51
991,0.35,0.26,0.0,0.21,0.95,0.0,5.59,bad,0.36
992,0.55,0.49,0.0,2.47,1.7,1.28,0.0,bad,0.84
1013,0.09,0.41,0.0,2.53,0.0,0.0,0.0,bad,0.39
1019,0.55,0.45,2.02,0.25,0.0,0.0,1.22,bad,0.67
1040,1.58,1.52,0.0,0.0,0.0,0.03,1.4,good,0.77
1063,0.51,0.6,0.0,2.3,0.31,2.13,1.93,bad,0.57
1066,0.27,0.42,0.0,2.47,0.0,0.42,1.24,bad,0.43
1083,1.08,2.45,0.0,0.0,0.0,0.0,0.0,good,0.95
1099,2.58,0.94,0.0,3.43,3.01,0.0,1.82,good,1.74
1114,2.45,1.37,0.0,2.74,0.0,0.0,2.35,good,1.18
1120,0.38,0.38,0.0,2.9,4.19,0.0,0.19,good,1.32
1125,1.06,0.25,0.0,2.5,1.08,1.19,1.7,bad,0.75
1157,0.11,1.74,0.0,0.16,0.0,1.78,0.58,good,0.56
1179,0.63,1.5,0.0,1.86,0.0,0.0,1.02,bad,0.76
1183,1.18,2.58,0.0,4.27,0.0,0.0,0.58,good,1.44
1198,1.86,1.73,0.16,1.25,0.0,0.0,0.84,good,1.05
1206,1.65,0.27,0.0,0.17,4.08,0.41,0.0,bad,1.24
1207,1.08,1.75,0.0,0.97,0.0,0.0,1.22,good,0.84
1229,0.69,0.61,0.0,1.89,0.0,0.0,0.0,bad,0.51
1250,0.85,0.87,0.45,1.21,0.77,0.0,2.67,good,0.8
1259,1.36,0.45,0.0,0.04,0.0,2.68,0.0,good,0.41
1261,1.27,0.16,0.0,1.98,0.84,0.0,0.63,good,0.67
1282,0.27,0.92,0.0,1.27,0.0,0.0,0.04,good,0.46
1324,0.63,0.86,0.0,0.35,0.4,0.0,0.17,bad,0.5
1326,1.92,0.54,0.0,2.27,0.0,0.91,0.0,bad,0.77
1332,0.52,0.49,0.0,0.2,0.26,2.97,0.0,bad,0.32
1349,1.09,0.68,0.0,0.76,1.88,0.0,1.41,good,0.87
1356,2.96,0.37,0.0,0.0,0.0,1.95,1.51,good,0.7
1367,0.89,0.19,0.0,1.28,0.0,1.36,0.0,good,0.36
1385,1.14,1.14,0.0,0.0,1.54,0.0,3.56,good,0.88
1400,1.12,0.17,0.0,1.19,1.54,0.05,0.0,bad,0.7
1415,0.43,0.85,0.0,2.31,0.0,0.42,0.0,bad,0.57
1421,0.3,1.45,0.0,1.89,0.0,0.29,0.0,good,0.68
1425,1.39,0.86,0.23,0.0,1.88,0.0,0.96,good,0.96
1428,0.72,0.41,0.0,2.17,0.0,0.35,1.83,bad,0.48
1435,1.8,0.17,0.0,0.0,1.97,0.0,0.83,bad,0.8
1439,0.01,0.35,0.19,0.0,0.0,1.21,1.62,bad,0.15
1446,1.12,4.15,0.0,0.48,0.0,0.85,0.5,good,1.52
1451,2.21,1.37,0.0,0.51,2.93,0.0,1.78,good,1.49
1478,2.51,0.72,0.74,0.98,4.03,0.0,4.3,good,1.77
1482,0.0,1.7,0.44,1.03,1.51,0.0,2.55,bad,1.0
1486,2.71,0.01,0.0,1.94,0.0,0.0,1.15,bad,0.74
1494,1.69,0.36,0.0,0.0,1.22,0.0,2.51,good,0.69
1497,3.17,0.96,0.0,0.06,0.0,0.0,0.0,bad,0.93
1498,1.53,1.29,0.0,0.96,0.0,1.59,0.0,good,0.79
1511,0.3,0.09,0.0,6.72,0.0,0.0,0.0,good,0.76
1514,0.19,1.55,0.0,3.99,0.0,0.0,2.03,good,0.9
1525,3.95,2.76,0.0,3.96,0.0,0.44,1.34,good,2.01
1555,0.14,2.18,0.0,0.35,0.0,0.0,1.4,bad,0.72
1557,4.49,0.01,0.0,0.12,1.63,1.12,1.67,good,1.24
1559,0.36,0.2,0.92,0.0,3.78,0.0,2.92,good,1.07
1573,2.92,0.84,0.0,1.47,1.05,0.0,0.25,bad,1.19
1580,1.3,0.25,0.53,0.23,2.84,0.0,3.23,good,1.03
1588,0.56,1.54,0.0,2.15,0.06,0.0,1.62,good,0.8
1597,2.36,0.61,0.0,0.0,2.54,0.92,2.39,good,1.16
1600,0.51,0.22,0.34,1.8,0.0,0.0,0.67,good,0.42
1612,0.4,0.21,0.5,0.0,0.0,0.0,1.28,good,0.24
1622,1.36,0.77,1.65,0.0,4.15,0.0,3.79,good,1.66
1626,0.09,0.01,0.0,3.37,0.78,0.64,0.0,good,0.51
1627,0.37,0.11,0.0,0.97,0.12,0.27,0.2,bad,0.23
1630,0.13,0.08,0.0,0.26,0.0,2.24,0.0,good,0.08
1652,2.93,1.49,0.0,2.31,0.0,0.45,4.82,bad,1.26
1665,0.02,0.32,0.0,2.02,1.36,0.0,1.8,bad,0.57
1707,0.52,0.65,0.0,2.96,0.0,0.0,0.0,good,0.6
1715,0.57,1.7,0.0,0.36,0.0,2.0,2.9,bad,0.66
1717,0.08,0.48,0.0,0.12,3.15,0.0,0.0,bad,0.8
1723,0.08,0.5,0.39,0.83,4.05,0.0,2.51,good,1.14
1732,4.4,1.23,0.0,0.0,2.76,0.72,1.55,good,1.8
1733,1.13,0.63,0.0,2.12,0.0,1.35,3.51,bad,0.63
1738,0.95,0.65,0.0,0.09,0.0,2.62,1.84,bad,0.39
1741,0.12,0.25,0.0,0.08,0.0,1.54,0.66,bad,0.11
1743,0.56,0.95,0.0,1.53,1.89,1.06,0.0,good,0.93
1759,0.68,0.17,0.0,0.92,3.13,0.0,0.01,good,0.9
1764,0.4,1.22,0.0,3.59,0.0,0.0,1.96,bad,0.8
1765,1.09,0.9,0.0,1.76,0.0,0.12,0.69,good,0.66
1777,0.81,0.03,0.0,1.41,0.06,0.0,0.79,bad,0.32
1782,3.67,0.71,0.0,0.03,1.66,1.34,2.83,good,1.28
1817,0.1,1.55,0.93,3.38,0.0,0.0,1.61,bad,1.01
1827,2.17,1.44,0.0,3.3,2.08,0.0,3.61,good,1.61
1847,2.48,1.2,0.0,0.0,0.73,0.53,0.34,good,1.0
1870,2.32,0.64,0.0,2.68,1.75,0.0,4.6,good,1.27
1910,3.38,0.87,0.0,0.91,0.0,2.0,0.58,good,1.03
1913,1.57,0.75,0.0,0.05,3.5,0.0,0.02,bad,1.24
1924,0.87,0.17,0.0,0.14,2.87,0.0,2.02,good,0.81
1940,1.13,0.92,0.0,2.09,0.0,0.94,0.0,bad,0.71
1946,2.19,0.43,0.0,1.62,0.0,0.35,0.58,good,0.73
1948,1.56,1.87,0.0,1.35,0.0,0.0,0.42,good,1.01
1952,0.04,1.39,0.0,1.49,0.0,0.0,0.0,good,0.57
1988,1.28,0.13,0.0,1.06,0.12,0.0,0.0,bad,0.43
1993,1.07,0.66,0.0,1.32,3.46,0.0,1.91,good,1.24
2003,0.43,2.58,0.47,0.94,1.34,0.0,2.58,good,1.32
2031,3.15,0.67,0.0,4.51,1.35,0.0,4.82,good,1.55
2059,1.34,0.73,0.0,1.42,0.0,0.0,0.0,bad,0.63
2060,1.85,0.47,0.0,0.0,4.31,0.0,1.84,bad,1.37
2066,0.67,1.03,0.0,2.6,0.0,0.73,1.11,good,0.7
2093,1.84,2.63,0.0,1.25,0.55,0.02,3.29,good,1.39
2116,1.14,0.17,0.0,2.45,0.0,0.0,0.0,bad,0.52
2131,2.62,0.08,0.0,1.39,0.91,0.0,2.27,good,0.87
2143,2.88,0.03,0.0,1.46,0.0,0.0,1.88,bad,0.73
2148,0.09,1.04,0.0,1.28,1.11,0.0,2.87,bad,0.68
2187,0.75,1.25,0.79,0.0,0.4,0.0,3.67,good,0.76
2200,1.66,1.92,1.45,2.07,1.71,0.0,4.51,good,1.75
2208,1.87,0.04,0.0,0.0,3.79,0.0,3.25,good,1.14
2225,0.1,2.43,0.0,1.32,0.47,0.0,0.0,good,0.98
2256,0.48,2.27,0.0,2.45,0.05,0.0,0.0,bad,1.03
2260,0.47,1.96,0.0,1.54,0.0,0.0,1.63,bad,0.84
2279,0.79,0.22,0.0,0.04,2.19,0.0,0.0,bad,0.67
2283,1.2,0.5,0.52,2.34,0.31,0.0,0.0,good,0.79
2289,2.86,1.06,0.0,0.0,4.36,0.0,0.72,bad,1.76
2294,1.21,0.51,0.0,0.81,0.0,0.0,1.65,bad,0.48
2297,0.66,0.67,0.0,1.37,0.46,0.0,0.0,good,0.56
2299,1.37,1.69,0.0,2.3,1.02,0.0,0.46,good,1.22
2307,0.15,1.08,0.0,3.35,0.13,0.0,0.43,bad,0.72
2308,2.02,0.0,1.57,1.48,3.54,0.0,3.7,good,1.57
2313,3.82,0.02,0.0,0.0,3.33,0.28,1.64,good,1.44
2320,0.66,3.22,0.04,0.41,2.73,0.0,1.94,good,1.69
2341,4.3,0.1,0.0,4.8,3.56,0.0,2.5,good,2.08
2351,1.25,0.62,0.0,2.38,0.66,0.0,2.11,good,0.81
2368,1.0,3.27,0.0,3.85,0.0,0.0,1.92,good,1.57
2371,3.49,0.29,0.0,0.0,0.44,1.01,0.17,good,0.87
2389,1.9,3.3,0.85,0.0,1.11,0.0,3.31,good,1.76
2427,1.69,1.29,0.0,0.88,0.66,0.0,0.16,good,0.94
2429,2.77,0.51,0.48,0.0,2.47,0.0,5.55,good,1.3
2439,0.13,0.97,0.0,0.0,5.45,0.0,3.44,bad,1.41
2441,0.9,0.34,0.0,1.61,0.0,0.97,0.25,bad,0.44
2452,1.37,0.28,0.0,1.42,0.31,0.71,0.0,bad,0.56
2454,0.04,0.07,0.0,0.0,0.0,0.54,0.32,good,0.03
2456,1.1,1.13,0.0,0.0,0.0,1.04,0.42,good,0.56
2486,0.42,0.95,0.0,0.0,0.0,2.98,0.0,good,0.37
2496,1.1,0.49,0.0,0.21,0.0,0.52,0.0,good,0.39
2503,1.18,0.38,0.0,0.12,0.57,0.0,3.99,bad,0.48
2504,2.13,1.12,0.0,0.15,0.39,0.31,0.0,good,0.86
2509,2.02,0.4,0.0,0.87,0.05,0.24,0.0,bad,0.62
2514,4.8,0.53,0.69,0.0,0.78,1.09,2.28,good,1.41
2519,0.91,1.32,0.0,1.23,1.43,0.0,0.77,good,0.99
2523,0.17,1.59,1.35,0.0,1.01,0.0,2.6,good,0.98
2542,1.71,0.23,0.0,1.29,2.15,0.0,0.97,bad,0.97
2549,0.72,2.7,0.0,0.0,1.02,0.19,0.19,good,1.16
2554,0.95,0.02,0.3,1.23,0.33,1.4,0.0,good,0.44
2581,0.79,0.14,0.0,0.23,0.36,0.0,0.0,bad,0.3
2588,1.32,1.72,0.0,2.23,0.0,0.12,0.0,good,1.0
2589,2.47,0.51,0.0,0.63,0.48,1.3,0.0,bad,0.81
2620,0.47,1.41,0.0,1.3,0.0,0.5,2.39,bad,0.65
2623,0.77,0.75,0.76,0.73,0.78,0.0,2.09,good,0.76
2639,0.68,1.6,0.0,2.64,0.0,0.0,3.49,bad,0.88
2643,1.05,0.5,0.0,0.0,0.39,0.0,0.32,good,0.44
2652,0.54,1.39,0.0,1.37,0.0,1.54,0.0,good,0.66
2654,2.04,0.0,0.0,1.48,3.93,1.72,0.0,bad,1.34
2683,0.69,0.23,0.2,0.14,1.56,0.0,2.29,good,0.57
2694,2.84,0.75,0.0,0.0,0.43,0.97,3.6,good,0.88
2695,1.56,0.85,0.0,0.0,1.65,0.0,0.0,bad,0.9
2698,0.7,0.11,0.0,1.14,0.0,0.0,2.71,bad,0.29
2704,1.74,1.45,1.74,0.0,2.64,0.0,4.26,good,1.66
2712,0.83,0.32,0.0,1.36,0.0,0.01,0.0,good,0.4
2717,0.88,1.1,0.0,3.37,1.42,0.0,0.8,good,1.13
2732,1.13,0.12,0.36,0.89,2.02,0.0,1.26,good,0.83
2748,1.26,0.01,0.0,2.25,0.0,0.0,1.48,good,0.48
2759,1.55,1.91,0.0,0.0,0.0,0.11,0.56,good,0.88
2761,2.38,0.31,0.0,2.67,0.0,0.0,0.0,bad,0.84
2775,1.13,0.85,0.0,2.66,0.0,0.0,2.43,bad,0.75
2796,2.3,0.01,0.42,3.78,0.0,0.0,2.42,bad,0.92
2797,0.64,0.6,1.61,0.0,2.76,0.0,3.38,good,1.18
2803,3.49,0.4,0.0,0.37,2.62,0.0,2.76,good,1.38
2830,2.12,0.45,0.0,0.28,2.18,0.0,3.25,good,1.02
2864,1.97,1.1,0.0,0.0,3.63,0.0,2.65,good,1.45
2885,2.98,0.45,0.81,0.0,2.15,0.97,3.16,good,1.32
2892,1.55,0.38,0.0,2.81,1.02,2.16,0.0,good,0.91
2896,3.78,1.04,0.0,0.0,0.95,2.33,0.0,good,1.26
2901,0.96,1.18,0.0,3.15,0.0,0.0,0.94,good,0.86
2902,2.11,0.1,0.7,0.08,1.02,0.0,2.36,good,0.8
2905,1.14,0.03,0.0,0.85,0.0,0.0,0.0,bad,0.32
2926,1.19,1.87,0.0,2.53,0.0,0.0,0.0,good,1.05
2929,1.43,1.89,0.0,0.29,3.17,0.0,3.51,good,1.52
2930,0.57,0.14,0.0,1.68,1.54,3.03,1.64,bad,0.63
2936,3.44,3.77,0.64,0.0,2.15,0.0,4.27,good,2.38
2944,0.36,1.22,0.0,1.3,0.47,0.0,0.35,bad,0.66
2947,0.06,0.44,0.12,0.73,0.52,0.0,0.0,bad,0.34
2951,0.03,0.49,0.0,0.28,0.0,0.0,0.07,good,0.18
2955,0.45,4.1,0.0,0.0,0.75,0.0,0.9,good,1.47
2981,1.88,1.19,0.0,0.0,1.43,0.0,0.95,good,1.02
2997,1.28,0.85,0.0,0.69,0.0,1.4,2.8,bad,0.58
3008,0.66,1.33,0.0,2.94,0.0,0.0,1.0,bad,0.82
3018,1.01,0.07,0.48,0.57,0.27,0.0,2.65,good,0.43
3030,0.36,0.32,0.0,2.29,0.0,2.63,0.0,bad,0.4
3038,2.02,1.63,0.0,0.4,0.0,1.96,0.0,good,0.93
3051,1.08,0.46,0.0,2.05,0.0,0.0,0.0,bad,0.56
3053,2.1,0.96,0.0,1.67,0.0,0.0,0.48,bad,0.88
3059,0.22,0.31,0.0,1.34,0.0,0.0,1.24,bad,0.27
3065,2.82,1.06,0.0,1.45,0.83,0.0,0.0,bad,1.19
3076,0.96,0.82,2.06,1.31,1.11,0.0,1.18,bad,1.2
3099,0.16,0.43,0.14,1.08,1.57,0.0,1.4,bad,0.61
3126,2.68,0.9,0.0,2.24,0.0,0.0,0.63,bad,1.03
3131,1.39,0.43,0.0,1.03,0.0,0.0,0.0,bad,0.51
3141,0.7,0.06,0.0,1.8,0.98,0.0,1.11,good,0.53
3148,1.79,0.23,0.0,3.43,0.18,0.0,1.66,good,0.81
3158,0.54,1.63,0.0,0.81,0.0,0.0,2.44,good,0.68
3170,0.0,2.26,0.0,2.25,0.0,0.0,0.87,good,0.9
3172,2.49,1.01,0.01,2.26,0.0,0.0,0.13,good,1.03
3176,2.77,0.73,0.0,1.57,0.0,1.46,0.0,good,0.93
3192,1.9,1.3,0.0,0.98,0.0,0.48,1.72,bad,0.87
3193,0.05,0.09,0.0,0.0,0.0,0.0,0.0,good,0.04
3194,0.03,3.01,1.71,1.75,0.47,0.0,4.9,bad,1.52
3218,1.15,2.45,0.0,3.79,0.0,0.0,3.58,good,1.34
3222,2.34,0.7,0.15,0.99,0.83,0.0,1.44,good,0.97
3226,0.38,0.11,0.84,0.72,1.4,0.0,2.41,good,0.63
3239,0.11,0.06,0.0,0.0,0.0,1.11,0.0,good,0.04
3242,1.72,3.04,0.0,0.0,2.68,0.0,4.74,good,1.79
3253,1.39,0.96,0.0,0.72,1.86,0.0,0.01,good,1.01
3277,2.96,0.46,0.0,1.85,0.12,1.25,1.09,good,0.94
3279,1.76,2.05,0.0,2.99,0.0,0.0,3.2,good,1.27
3297,0.59,0.62,0.0,6.11,0.0,0.0,1.9,good,0.92
3299,1.78,0.03,0.11,2.47,0.0,0.0,4.05,bad,0.63
3311,1.27,0.15,0.0,3.5,0.0,0.0,2.65,good,0.65
3315,0.23,0.62,0.0,1.55,0.0,0.0,0.0,bad,0.39
3318,0.75,0.98,0.0,0.0,0.0,1.68,0.0,good,0.44
3325,1.62,0.27,0.0,0.0,1.05,0.0,0.42,good,0.62
3330,0.7,1.06,0.0,0.0,0.0,1.04,0.0,good,0.46
3338,1.69,0.77,0.0,0.0,0.76,0.99,0.0,good,0.72
3361,0.96,0.51,2.61,0.5,0.35,0.0,2.16,good,0.99
3362,1.2,3.01,0.0,2.46,0.82,0.0,2.19,good,1.55
3369,0.37,0.72,0.22,2.74,0.0,0.0,0.92,good,0.61
3371,0.42,0.98,0.0,2.52,0.0,0.76,0.68,good,0.63
3372,3.39,0.27,0.0,0.67,1.5,1.98,2.48,good,1.13
3378,2.36,0.78,0.0,0.0,1.52,0.53,2.95,good,1.01
3381,1.57,1.23,1.48,0.0,0.43,0.0,2.23,good,1.06
3424,1.96,0.26,0.0,0.0,0.42,1.26,3.3,good,0.55
3428,0.52,0.69,0.0,0.01,1.24,2.14,0.0,bad,0.56
3454,2.04,1.21,0.0,1.96,0.3,0.0,0.99,good,1.03
3473,0.99,0.18,0.0,1.09,0.1,0.0,2.61,good,0.38
3484,5.1,0.14,0.0,1.96,0.0,1.75,0.0,good,1.26
3499,2.83,0.38,0.0,1.0,0.0,0.0,0.0,bad,0.78
3503,0.98,0.53,0.0,0.34,0.0,0.0,0.0,good,0.39
3531,1.45,0.2,0.0,1.79,0.0,0.0,2.49,bad,0.53
3537,4.09,1.07,0.0,0.0,1.73,1.57,0.52,good,1.48
3553,2.6,2.55,0.0,2.5,0.0,0.75,0.0,good,1.54
3554,0.82,1.27,0.0,1.01,0.0,0.0,2.94,good,0.65
3555,1.06,0.34,0.0,0.0,2.54,0.0,0.17,good,0.82
3556,0.67,1.26,0.0,2.82,0.85,1.61,0.0,good,0.96
3578,0.0,0.24,0.73,2.56,0.0,0.0,0.27,bad,0.47
3582,0.31,1.29,0.0,2.22,0.0,0.0,1.33,good,0.67
3583,0.76,1.48,0.0,0.0,0.0,2.28,0.0,good,0.6
3612,0.04,0.3,0.0,0.79,0.97,0.0,0.0,bad,0.37
3624,1.27,0.37,1.3,0.0,2.92,0.0,2.6,good,1.21
3632,0.62,0.47,0.0,3.46,0.0,3.72,0.0,bad,0.61
3644,3.74,0.33,0.0,1.18,3.37,0.0,3.16,good,1.64
3663,0.1,0.9,2.33,0.0,0.07,0.0,2.62,good,0.77
3665,1.51,0.87,0.0,2.45,0.0,0.0,1.94,bad,0.81
3673,1.38,0.19,0.0,1.69,0.47,0.0,2.19,bad,0.6
3675,1.89,0.95,0.0,0.64,0.31,1.86,2.9,bad,0.79
3684,0.92,0.51,0.0,2.64,0.94,0.95,0.12,bad,0.79
3699,0.54,0.35,0.25,0.0,1.94,0.0,1.35,good,0.65
3702,2.15,0.62,0.0,4.15,0.0,0.34,2.55,good,1.03
3711,1.03,1.1,0.76,0.0,2.79,0.0,1.28,good,1.25
3718,2.71,2.39,0.0,3.29,0.0,0.63,1.42,good,1.59
3752,0.12,0.74,0.0,2.4,0.0,0.0,0.26,good,0.49
3758,0.75,0.87,2.04,0.93,0.0,0.0,2.72,good,0.91
3760,3.34,2.5,0.0,0.24,1.25,1.02,1.0,good,1.69
3773,0.38,0.77,0.0,2.67,2.17,0.12,0.07,bad,1.01
3781,1.21,0.19,0.0,2.43,0.0,0.85,2.12,bad,0.54
3797,4.24,0.39,0.0,0.0,3.6,0.14,2.04,good,1.68
3814,1.71,0.93,0.0,0.0,4.16,0.46,0.0,bad,1.45
3835,0.14,2.86,0.0,2.04,0.0,0.0,1.2,good,1.09
3840,0.81,0.22,0.0,0.0,2.7,0.0,0.84,good,0.77
3879,1.37,0.59,3.01,3.31,1.16,0.0,5.46,good,1.62
3890,0.12,0.54,0.0,0.23,0.0,0.0,0.0,bad,0.21
3935,0.14,0.05,0.0,0.0,3.2,0.0,0.09,good,0.68
3957,4.09,0.6,0.93,5.78,0.0,0.0,4.69,bad,1.76
3959,0.44,0.29,0.0,0.4,2.99,0.37,0.0,bad,0.81
3972,0.32,0.07,0.0,0.89,0.0,0.0,0.0,bad,0.17
